"No.","station_id","C_conc_0.30cm","C_conc_30.100cm","Bulk_density_0.30cm","Bulk_density_30.100cm","C_stock.tons.ha._0.30cm","C_stock.tons.ha._30.100cm","Texture_0.30cm_.Sand","Texture_0.30cm_.Clay","Texture_0.30cm_.Silt","Textural.class_0.30cm","Texture_30.100cm_.Sand","Texture_30.100cm_.Clay","Texture_30.100cm_.Silt","Textural.class_30.100cm","Lon","Lat","MAT","MAP","Fire_frequency"
459,"id_278",1.08,0.92,1.1,1.79,35.95,49.28,46.64,44.4,8.96,"SANDY CLAY",44.64,46.4,8.96,"CLAY",25.2063762,-17.0220288,22.8249999682109,681,4
460,"id_279",0.64,0.72,1.4,1.78,27.51,38.53,64.64,28.4,6.96,"SANDY CLAY LOAM",52.64,38.4,8.96,"SANDY CLAY",25.1894835,-17.0456255,22.891666730245,680,7
461,"id_295",1.04,0.84,1.3,1.72,41.78,43.44,72.64,18.4,8.96,"SANDY LOAM",68.64,22.4,8.96,"SANDY CLAY LOAM",25.2168513,-17.0129173,22.8583335876465,687,10
462,"id_312",1.88,1.96,1.3,1.8,72.81,105.85,56.8,25.2,18,"SANDY CLAY LOAM",58.8,27.2,14,"SANDY CLAY LOAM",25.1871173,-16.9929846,22.6916666030884,693,1
463,"id_314",0.48,0.48,1.2,1.53,17.69,22.07,78.8,11.2,10,"SANDY LOAM",80.8,9.2,10,"LOAMY SAND",25.179726,-16.988091,22.6249998410543,701,2
464,"id_383",0.44,0.4,1.3,1.65,17,19.86,22.8,67.2,10,"CLAY",26.8,65.2,8,"CLAY",25.1316051,-17.6453732,24.016666730245,633,5
465,"id_395",1.28,1.28,1.5,1.54,57.07,59.19,20.8,65.2,14,"CLAY",20.8,63.2,16,"CLAY",25.1146773,-17.6226872,23.9666663805644,635,0
466,"id_400",0.76,0.88,1.2,1.29,27.96,34.16,18.8,67.2,14,"CLAY",22.8,63.2,14,"CLAY",25.1277207,-17.638617,24.0416666666667,629,5
467,"id_405",1.64,0.96,1.3,1.89,66.17,54.52,20.8,63.2,16,"CLAY",18.8,55.2,26,"CLAY",25.1393977,-17.6148403,24.0916666984558,642,1
468,"id_412",1.16,0.56,1.5,1.32,51.8,22.13,22.8,61.2,16,"CLAY",24.8,65.2,10,"CLAY",25.1419796,-17.6176998,24.1083334287008,642,1
469,"id_424",1.28,0.64,1.4,1.45,53.6,27.91,38.8,41.2,20,"CLAY",40.8,47.2,12,"CLAY",25.2867456,-17.4881533,23.7166668574015,647,1
470,"id_348",1.72,0.44,1.3,1.54,69.56,20.36,66.8,23.2,10,"SANDY CLAY LOAM",76.8,17.2,6,"SANDY LOAM",25.2743807,-17.5252976,23.7583335240682,661,1
471,"id_352",1.12,1,1.6,1.42,53.06,42.72,44.8,35.2,20,"CLAY LOAM",48.8,35.2,16,"SANDY CLAY",25.2749249,-17.5290439,23.7583335240682,661,0
472,"id_360",2.32,0.48,1.6,1.52,111.59,21.93,13.4,66.4,20.2,"CLAY",15.4,64.4,20.2,"CLAY",25.2816529,-17.5264976,23.7583335240682,661,3
473,"id_362",0.32,0.44,1.2,1.56,11.47,20.6,75.4,18.4,6.2,"SANDY LOAM",39.4,52.4,8.2,"CLAY",25.0636942,-17.4267507,23.6416665712992,663,7
474,"id_372",2.88,2.24,1.3,1.35,114.29,90.62,19.4,66.4,14.2,"CLAY",25.4,74.4,0.2,"CLAY",25.0669424,-17.4062531,23.5666667620341,670,6
475,"id_375",0.24,0.6,1.4,1.57,10.29,28.2,45.4,34.4,20.2,"SANDY CLAY LOAM",43.4,34.4,22.2,"CLAY LOAM",25.0344838,-17.4477727,23.641666730245,650,0
476,"id_381",1.6,1.44,1.3,1.85,63.75,79.73,41.4,34.4,24.2,"CLAY LOAM",43.4,30.4,26.2,"CLAY LOAM",25.1004696,-17.4330829,23.6999999682109,660,4
477,"id_382",1.16,1.04,1.5,1.54,52.73,48.03,15.4,58.4,26.2,"CLAY",17.4,54.4,28.2,"CLAY",25.2538266,-17.554539,23.8000001907349,652,0
478,"id_385",1.56,2.04,1.2,1.29,55.36,79.19,21.4,66.4,12.2,"CLAY",13.4,72.4,14.2,"CLAY",25.1624984,-17.5962369,24.0833334922791,643,4
479,"id_388",1.08,1,1.6,1.54,51.52,46.16,45.4,40.4,14.2,"SANDY CLAY",45.4,40.4,14.2,"SANDY CLAY",25.2619045,-17.6069429,24.0333333015442,634,4
480,"id_389",2.36,1.68,1.2,0.83,84.85,41.66,43.4,46.4,10.2,"CLAY",39.4,42.4,18.2,"CLAY",25.1800633,-17.5355748,23.8833335240682,643,0
481,"id_390",2.16,1.56,1.2,1.48,77.8,69.44,25.4,40.4,34.2,"CLAY",21.4,50.4,28.2,"CLAY",25.2688119,-17.560257,23.8250002861023,649,1
482,"id_394",1,1.16,1.4,1.43,43.2,49.71,26,63.6,10.4,"CLAY",24,59.6,16.4,"CLAY",25.1175314,-17.5287699,23.9333333969116,657,7
483,"id_397",1.24,0.96,1.5,1.47,54.63,42.32,74,17.6,8.4,"SANDY LOAM",14,71.6,14.4,"CLAY",25.2029178,-17.5426915,23.7833334604899,650,0
484,"id_399",1.8,1.44,1.3,1.09,67.53,47.28,42,45.6,12.4,"CLAY",44,45.6,10.4,"CLAY",25.2878715,-17.5888963,23.8749998410543,653,2
485,"id_403",1.28,1.16,1.6,1.35,60.54,47.05,20,61.6,18.4,"CLAY",30,55.6,14.4,"CLAY",25.2379131,-17.5815908,23.9416666030884,626,0
486,"id_404",2.68,1.8,1.5,1.74,117.25,94.21,34,47.6,18.4,"CLAY",38,45.6,16.4,"CLAY",25.1521915,-17.5224259,23.9166666666667,651,2
487,"id_410",0.92,0.92,1.7,1.83,47.92,50.47,54,15.6,30.4,"SANDY LOAM",54,33.6,12.4,"SANDY CLAY LOAM",25.1459673,-17.4871408,23.9166665077209,633,2
488,"id_411",1.16,0.84,1.5,1.21,50.7,30.37,42,45.6,12.4,"CLAY",42,41.6,16.4,"CLAY",25.1017592,-17.4556918,23.7916666666667,641,5
489,"id_415",2.4,0.92,1.4,1.22,99.22,33.66,30,39.6,30.4,"CLAY LOAM",30,61.6,8.4,"CLAY",25.1916447,-17.5667805,23.983333269755,637,0
490,"id_603",0.08,0.2,1.8,1.68,4.27,10.05,94,5,1,"SAND",94,4,2,"SAND",24.7093803,-16.9152317,22.0166665712992,696,7
