"Year","Date","Site","Habitat","Land_class","Burned","Vegetation","Wet_biomass.g.","Dry_biomass.g.","Biomass.g.m2.","Sand...","Notes","MAT","MAP","Fire_frequency","SOC_conc30","SOC_conc70","Section_dry_weight30","Section_dry_weight70","BD30","BD70","SOC_stock30","SOC_stock70","SOC_stock_1m","lon","lat"
2023,NA,"MA171",NA,NA,"Late","ANNUALS",0,0,0,85,NA,21.8916664123535,685,9,0.429,0.156,1236.5,3289.5,1.07099367147281,1.22108498029339,13.783688551855,13.3342479848038,27.1179365366588,24.5924317823908,-17.0794866379533
2023,NA,"MA172",NA,NA,"Early","ANNUALS",35.37,33.93,542.93,95,NA,21.8500003814697,689,6,0.312,0.195,1128.5,3232,0.977449541655531,1.19974058559302,9.14892770989577,16.3764589933447,25.5253867032405,24.3564185296276,-17.0162700842427
2023,NA,"MA173",NA,NA,"Unburned","MIXTURE",38.47,36.2,579.2,95,NA,22.658332824707,657,NA,0.975,0.195,1375.5,2945,1.19138843114505,1.09320421552334,34.8481116109926,14.9222375418936,49.7703491528862,24.8627062653828,-17.2304873129867
2023,NA,"MA174",NA,NA,"Unburned","MIXTURE",29.17,28.07,449.07,90,NA,21.8999996185303,715,6,0.39,0.117,2128,4432.5,1.84316581714043,1.64537442625032,21.565040060543,13.4756165509901,35.0406566115331,24.6581474958289,-16.7619950438396
2023,NA,"MA175",NA,NA,"Early","ANNUALS",52.6,51.03,816.53,95,NA,22.1916656494141,690,NA,0.234,0.078,1258.5,3433.5,1.09004895717633,1.2745387687604,7.65214367937782,6.9589816774318,14.6111253568096,24.1308440883634,-16.8645313804607
2023,NA,"MA176",NA,NA,"Early","ANNUALS",39.23,37.73,603.73,95,NA,22.1499996185303,671,5,0.273,0.117,1340.5,3011,1.16107320388945,1.11770386857072,9.50918953985456,9.15399468359421,18.6631842234488,24.636588256813,-17.1547637416911
2023,NA,"MA177",NA,NA,"Early","MIXTURE",26.53,25.53,408.53,90,NA,21.8999996185303,713,3,0.429,0.156,1972,4378.5,1.70804651851547,1.62532925557519,21.9825586932941,17.7485954708811,39.7311541641752,24.6587976808605,-16.7957151302824
2023,NA,"MA178",NA,NA,"Early","ANNUALS",26.57,25.6,409.6,90,NA,22.0083332061768,702,2,0.507,0.156,1763,3563,1.52702130433204,1.32261005769428,23.2259940388903,14.4429018300216,37.6688958689118,24.892681522028,-16.862425436251
2023,NA,"MA179",NA,NA,"Early","ANNUALS",24.67,23.8,380.8,90,NA,21.8166656494141,678,4,0.273,0.117,1079.5,3270.5,0.935008223497693,1.21403204987066,7.6577173504461,9.94292248844067,17.6006398388868,24.3181854975911,-17.1384316606319
2023,NA,"MA180",NA,NA,"Late","ANNUALS",45.7,44.1,705.6,90,NA,22.0583343505859,713,6,0.468,0.117,1506.5,4236.5,1.304853996016,1.57261788083689,18.3201501040647,12.8797404440541,31.1998905481188,25.1745393590774,-16.7160817001364
2023,NA,"MA182",NA,NA,"Early","BARE",0,0,0,90,"A lot of dead Matter when assessing vegetation",21.625,738,NA,0.312,0.078,1674,3793.5,1.4499340121678,1.40817323992794,13.5713823538906,7.68862589000656,21.2600082438971,24.9561200099214,-16.6649135441169
2023,NA,"MA183",NA,NA,"Unburned","MIXTURE",42.67,38.07,609.07,90,NA,21.9916667938232,718,NA,0.468,0.273,1598,4055.5,1.38410666155564,1.50542943838876,19.4328575282412,28.7687565676092,48.2016140958504,25.1378826891317,-16.6735935595974
